name,lat,lon,population
г. Новосибирск,55.030187,82.920426,1633595
г. Екатеринбург,56.8387061,60.6054943,1544376
г. Казань,55.7944326,49.1115164,1308660
г. Нижний Новгород,56.326794,44.006495,1226076
г. Челябинск,55.1602292,61.4007614,1189525
г. Красноярск,56.0095312,92.8525234,1187771
г. Самара,53.1951774,50.1069625,1173299
г. Уфа,54.734856,55.9577802,1144809
г. Ростов-на-Дону,47.2180329,39.6902714,1142162
г. Омск,54.9849581,73.3675684,1125695
г. Краснодар,45.035453,38.975301,1099344
г. Воронеж,51.6593943,39.196922,1057681
г. Пермь,58.0102668,56.2342725,1034002
г. Волгоград,48.7071653,44.5170212,1028036
г. Саратов,51.533557,46.034257,901361
г. Тюмень,57.1531178,65.5343535,847488
г. Тольятти,53.5205003,49.3895011,684709
г. Барнаул,53.3479774,83.7798977,630877
г. Ижевск,56.8528384,53.211509,623472
г. Махачкала,42.9849039,47.5045541,623254
г. Хабаровск,48.4648124,135.0598539,617441
г. Ульяновск,54.3079032,48.3748473,617352
г. Иркутск,52.2863483,104.2806793,617264
г. Владивосток,43.1163208,131.8824988,603519
г. Ярославль,57.6216293,39.8978921,577279
г. Кемерово,55.3910176,86.0469193,557119
г. Томск,56.4846736,84.9482929,556478
г. Набережные Челны,55.6948843,52.3279115,548434
г. Ставрополь,45.0444563,41.9691349,547443
г. Оренбург,51.7875335,55.1017803,543654
г. Новокузнецк,53.7943459,87.2142908,537480
г. Рязань,54.6255345,39.7359162,528599
г. Балашиха,55.796991,37.938104,520962
г. Пенза,53.1753947,45.0347408,501109
г. Чебоксары,56.125485,47.377328,497807
г. Липецк,52.6101389,39.5947287,496403
г. Калининград,54.7074298,20.5073482,490449
г. Астрахань,46.3656435,48.0559229,475629
г. Тула,54.1918898,37.6153644,473622
г. Киров,58.6034972,49.6680445,468212
г. Сочи,43.5855182,39.7229922,466078
г. Курск,51.7303825,36.1925546,440052
г. Улан-Удэ,51.8334492,107.584068,437565
г. Тверь,56.8586556,35.9118279,416219
г. Магнитогорск,53.4072599,58.9791822,410594
г. Сургут,61.2541492,73.396236,396443
г. Брянск,53.2420053,34.3653002,379152
г. Иваново,56.9994066,40.9729071,361644
г. Якутск,62.0280605,129.7324858,355443
г. Владимир,56.1280444,40.4082983,349951
г. Симферополь,44.9482789,34.1001275,340540
г. Белгород,50.5975582,36.5858422,339978
г. Нижний Тагил,57.9102289,59.9814188,338966
г. Калуга,54.506025,36.2516145,337058
г. Чита,52.0338828,113.499487,334427
г. Грозный,43.3178923,45.6981421,328533
г. Волжский,48.7979775,44.7462572,321479
город Смоленск,54.782635,32.045251,316570
г. Подольск,55.4389616,37.5703052,314934
г. Саранск,54.1808234,45.1863143,314871
г. Вологда,59.220501,39.891523,313944
г. Курган,55.4443683,65.3162142,310911
г. Череповец,59.1268743,37.9090556,305185
г. Орёл,52.9671928,36.0695725,303169
г. Архангельск,64.53939,40.5170011,301199
г. Владикавказ,43.020552,44.681905,295830
г. Нижневартовск,60.9397399,76.5695505,283256
г. Йошкар-Ола,56.6343266,47.8999167,281248
г. Стерлитамак,53.6302062,55.9317313,277410
г. Мурманск,68.970663,33.074918,270384
г. Кострома,57.768,40.927,267481
г. Новороссийск,44.7234226,37.7686906,262293
г. Тамбов,52.7211576,41.4522156,261803
г. Химки,55.8888467,37.430372,257128
г. Мытищи,55.9104655,37.7363923,255429
г. Нальчик,43.4846449,43.6070943,247054
г. Таганрог,47.2096599,38.9352459,245120
г. Нижнекамск,55.6312304,51.8144719,241479
г. Благовещенск,50.290659,127.527198,241437
г. Комсомольск-на-Амуре,50.5525092,136.9895507,238505
г. Петрозаводск,61.7889739,34.3596538,234897
г. Королёв,55.9161885,37.854422,228095
г. Шахты,47.7085649,40.2158665,226452
г. Энгельс,51.4855068,46.1267008,225428
г. Великий Новгород,58.5214164,31.2754186,224286
г. Люберцы,55.676499,37.898125,224195
г. Братск,56.1514087,101.6341027,224071
г. Старый Оскол,51.297974,37.833231,221676
город Ангарск,52.544898,103.8884509,221296
г. Сыктывкар,61.6687212,50.8356788,220580
г. Дзержинск,56.2375332,43.4598979,218630
г. Псков,57.819825,28.3950685,193082
г. Орск,51.2292952,58.4752502,189195
г. Красногорск,55.8318647,37.3294489,187634
г. Армавир,45.0011356,41.1324283,187177
г. Абакан,53.7223055,91.4436926,184769
г. Балаково,52.0222817,47.7827796,184466
г. Бийск,52.5392784,85.213843,183852
г. Южно-Сахалинск,46.9667029,142.7212958,181587
г. Одинцово,55.6790296,37.2635177,180530
г. Уссурийск,43.8048438,131.9367538,180393
г. Прокопьевск,53.8604228,86.7183302,177819
г. Рыбинск,58.0484021,38.858475,177295
г. Норильск,69.3489906,88.2009379,174453
г. Волгодонск,47.5165757,42.1984573,168048
г. Сызрань,53.1557162,48.4744217,165725
г. Петропавловск-Камчатский,53.0370074,158.65595,164900
г. Каменск-Уральский,56.4148539,61.9188448,164192
г. Новочеркасск,47.4118469,40.1040646,163674
г. Альметьевск,54.9014385,52.297123,163512
г. Златоуст,55.1714213,59.6726478,161774
г. Северодвинск,64.5625626,39.8182183,157213
г. Хасавюрт,43.2504341,46.5850867,155144
г. Керчь,45.3561252,36.4673129,154621
г. Домодедово,55.436403,37.7666001,152404
г. Салават,53.362823,55.9154367,148575
г. Миасс,55.0552642,60.0791765,147995
г. Копейск,55.1167381,61.6179305,147806
г. Пятигорск,44.041234,43.0660504,146473
г. Электросталь,55.784633,38.444699,146403
г. Майкоп,44.609792,40.1005698,143385
г. Находка,42.8111483,132.8844502,139931
г. Березники,59.4079119,56.8039179,138069
г. Коломна,55.1026926,38.7530213,134850
г. Щёлково,55.9233436,37.9783923,134211
г. Серпухов,54.9226176,37.4033624,133793
г. Ковров,56.3554229,41.3171096,132417
г. Нефтекамск,56.0883752,54.2482411,131942
г. Кисловодск,43.9052745,42.7167964,127521
г. Батайск,47.1382139,39.750662,126988
г. Рубцовск,51.5012963,81.2078042,126834
г. Обнинск,55.0944881,36.6121565,125376
г. Кызыл,51.7190588,94.4376984,125241
г. Дербент,42.0590354,48.2908599,124953
г. Нефтеюганск,61.0881688,72.6163369,124732
г. Назрань,43.2256598,44.7646901,122350
г. Каспийск,42.8916263,47.6366936,121140
г. Долгопрудный,55.9385975,37.5100337,120907
г. Новочебоксарск,56.1095538,47.4791596,120375
г. Новомосковск,54.010957,38.2915047,119697
г. Ессентуки,44.0444693,42.8589782,119658
г. Невинномысск,44.6226742,41.9476424,117562
г. Октябрьский,54.4814637,53.4654836,115557
г. Раменское,55.5495378,38.2728835,114537
г. Первоуральск,56.9080096,59.9429936,114450
г. Михайловск,45.1297467,42.0287477,114133
г. Реутов,55.7582708,37.8618288,113871
г. Черкесск,44.228353,42.048278,113226
г. Жуковский,55.5999747,38.1224066,111222
г. Димитровград,54.2168413,49.6262388,110968
г. Пушкино,56.0104754,37.847161,110868
г. Артем,43.3501868,132.1595835,109556
г. Камышин,50.0652955,45.384535,107927
г. Евпатория,45.190629,33.367634,107877
г. Муром,55.563153,42.0230298,107497
г. Ханты-Мансийск,61.0025598,69.0183366,107473
г. Новый Уренгой,66.0839904,76.6810104,107251
г. Северск,56.6032343,84.881027,106648
г. Орехово-Зуево,55.8164825,38.9368137,105745
г. Арзамас,55.3946343,43.8408135,104908
г. Ногинск,55.8760353,38.4231801,103891
г. Новошахтинск,47.7576743,39.9364541,103480
г. Бердск,54.7582184,83.1071527,102850
г. Элиста,46.30821,44.2702746,102583
г. Сергиев Посад,56.3063854,38.1502956,101756
г. Видное,55.5517857,37.7062236,101490
г. Ачинск,56.2537315,90.4793969,100621
г. Тобольск,58.2017257,68.2538473,100352
г. Ноябрьск,63.1920786,75.4454918,100188
г. Елец,52.6152577,38.528899,99875
г. Зеленодольск,55.8465861,48.500966,99137
г. Новокуйбышевск,53.0994719,49.9477255,98306
г. Воткинск,57.0518828,53.9874914,97471
г. Железногорск,52.3379241,35.3517678,97038
г. Междуреченск,53.6865918,88.0702782,96174
г. Воскресенск,55.3070155,38.7028385,95495
г. Гатчина,59.5651362,30.1281234,94377
г. Серов,59.6047459,60.5752389,94211
г. Саров,54.922813,43.3447953,93357
г. Ленинск-Кузнецкий,54.6674801,86.1796673,92244
г. Сарапул,56.4616582,53.8036826,91115
г. Магадан,59.5681947,150.8086939,90757
г. Мичуринск,52.8913406,40.5103713,90451
г. Соликамск,59.6483298,56.7710196,89473
г. Мурино,60.0448984,30.4573012,89083
г. Чехов,55.1506335,37.4532854,89025
г. Клин,56.3424345,36.7240443,88511
г. Бузулук,52.7881715,52.2623964,88341
г. Глазов,58.1359039,52.6634921,87762
г. Канск,56.2050971,95.7051994,86816
г. Великие Луки,56.343703,30.515671,86711
г. Каменск-Шахтинский,48.3204742,40.2689608,86365
г. Губкин,51.2836227,37.5347995,85225
г. Киселевск,54.0383268,86.6605444,83431
г. Ейск,46.7114714,38.2764767,82943
г. Ивантеевка,55.9741839,37.9208717,82827
г. Лобня,56.0328978,37.4614808,82764
г. Железногорск,56.2528775,93.532226,82723
г. Азов,47.1122112,39.4233596,81924
г. Анапа,44.8948984,37.3162896,81863
г. Бугульма,54.5364489,52.7894083,81677
г. Московский,55.597255,37.359448,81309
г. Геленджик,44.5631183,38.0791049,80204
г. Ухта,63.5563841,53.7013827,79899
г. Юрга,55.7202352,84.8885927,79693
г. Усть-Илимск,58.0189147,102.6855314,79570
г. Всеволожск,60.0190286,30.6456654,79038
г. Новоуральск,57.2472236,60.0955422,78479
г. Кузнецк,53.1130584,46.6052642,78390
г. Бор,56.3565886,44.0645547,78372
г. Кинешма,57.442535,42.1689258,77694
г. Озерск,55.7632143,60.7076521,76896
г. Новотроицк,51.1963401,58.3017089,75960
г. Кропоткин,45.4332835,40.5728945,75858
г. Чайковский,56.7780683,54.1477844,75837
г. Черногорск,53.8258374,91.3259463,75745
г. Усолье-Сибирское,52.7566823,103.6387415,74762
г. Ялта,44.4952969,34.1663516,74652
г. Дубна,56.7416155,37.1756531,74183
г. Балашов,51.5388261,43.1839668,74057
посёлок Коммунарка,55.570388,37.475469,73735
г. Елабуга,55.7566788,52.0545017,73630
г. Новоалтайск,53.4120027,83.9309813,73049
г. Выборг,60.7129589,28.7328799,72530
г. Егорьевск,55.3831202,39.0358883,71686
г. Верхняя Пышма,56.9758868,60.5649684,71335
г. Наро-Фоминск,55.386185,36.734484,71121
г. Минеральные Воды,44.2087295,43.1383447,70485
г. Троицк,54.0843322,61.5587093,70301
г. Чапаевск,52.929023,49.8673246,70228
г. Минусинск,53.7104585,91.6871667,70089
г. Биробиджан,48.7946217,132.9217228,70064
г. Шадринск,56.0871041,63.6297172,68609
г. Белово,54.4221568,86.3037406,68542
г. Туймазы,54.5999395,53.6950191,68349
г. Сертолово,60.1446697,30.209571,68241
г. Буйнакск,42.8213541,47.116407,68121
г. Ишим,56.1104734,69.4797226,67614
г. Кирово-Чепецк,58.5560037,50.0317344,66651
г. Анжеро-Судженск,56.0787454,86.0200409,66583
г. Феодосия,45.0320187,35.382384,66293
г. Дмитров,56.3476745,37.5266195,65574
г. Сосновый Бор,59.904224,29.092209,65367
г. Горно-Алтайск,51.9581885,85.9603499,65342
г. Лыткарино,55.5778267,37.9034779,65212
г. Павловский Посад,55.780723,38.6596371,65098
г. Троицк,55.4844981,37.3067485,65043
г. Белорецк,53.967626,58.4100433,64525
г. Ступино,54.886274,38.078228,64412
г. Гудермес,43.3518339,46.1034832,64376
г. Ишимбай,53.4545688,56.0440089,64041
г. Донской,53.9678617,38.3372254,63837
г. Котельники,55.6599375,37.8631583,63728
г. Кстово,56.1432079,44.1663972,63646
г. Урус-Мартан,43.120175,45.539276,63449
г. Георгиевск,44.14794,43.474254,63221
г. Клинцы,52.752875,32.2337792,63059
г. Нягань,62.1454886,65.3945936,63034
г. Славянск-на-Кубани,45.2604694,38.1259659,62985
г. Кунгур,57.4284056,56.9438416,62673
город Сунжа,43.3203629,45.0477848,62078
г. Туапсе,44.1104007,39.0825379,61571
г. Когалым,62.2639797,74.482946,61441
г. Белогорск,50.921219,128.4737866,61440
г. Лениногорск,54.5966119,52.4433347,60993
город Россошь,50.1701985,39.6226453,60879
г. Алексин,54.5084968,37.0478364,60842
г. Кудрово,59.9076688,30.5119611,60791
г. Борисоглебск,51.3654207,42.1009542,60687
г. Фрязино,55.9589291,38.0409827,60580
г. Гуково,48.0450292,39.9485638,60361
г. Ревда,56.7987642,59.9071644,60200
г. Прохладный,43.7590107,44.010051,59938
г. Березовский,56.9136462,60.7852371,59698
г. Белебей,54.1034535,54.1112181,59195
г. Чистополь,55.3699331,50.6285823,58815
г. Заречный,53.1961885,45.1691136,58510
г. Будённовск,44.781467,44.164948,58103
г. Кумертау,52.756471,55.7970469,57949
г. Сальск,46.475234,41.541039,57937
г. Дзержинский,55.6241057,37.8441593,57918
г. Лабинск,44.6354147,40.7244209,57428
г. Асбест,57.0052534,61.4581769,57317
г. Искитим,54.626704,83.2949994,57147
г. Павлово,55.965103,43.064848,57116
г. Александров,56.3918756,38.7110582,57053
г. Воркута,67.497434,64.0611813,56985
г. Щербинка,55.50868,37.5633253,56531
г. Сибай,52.7204622,58.6663921,56514
г. Мелеуз,52.9589874,55.9282514,56505
г. Котлас,61.2528975,46.6332216,56093
г. Михайловка,50.0708708,43.2401092,56031
г. Избербаш,42.5652081,47.8710684,55996
г. Краснотурьинск,59.7638319,60.1935754,55875
г. Белореченск,44.7652692,39.8781164,55870
г. Ржев,56.2629154,34.3290948,55757
г. Лесосибирск,58.2216981,92.503692,55730
г. Тихорецк,45.8546923,40.1258776,55686
г. Тихвин,59.644619,33.54193,55415
г. Шуя,56.8507513,41.3516168,55225
г. Полевской,56.4958618,60.2366252,55182
г. Щекино,54.0021718,37.5177177,55109
г. Шали,43.1487442,45.9010465,55054
г. Вольск,52.0459603,47.3873,55035
г. Крымск,44.9343723,37.9854857,54597
пгт Яблоновский,44.981266,38.936362,54291
г. Зеленогорск,56.1133542,94.5889359,54279
г. Лиски,50.9945381,39.5183454,54147
г. Черемхово,53.1233358,103.1574108,53958
г. Лысьва,58.0996742,57.8087369,53855
г. Нерюнгри,56.6599502,124.7201885,53409
г. Волжск,55.8623164,48.3715777,53013
г. Мегион,61.0318864,76.102504,52887
г. Вязьма,55.2116645,34.2952096,51950
г. Тимашевск,45.6158949,38.9351457,51858
г. Гусь-Хрустальный,55.6199041,40.6578219,51552
г. Краснокаменск,50.09868,118.034118,51137
г. Кириши,59.449699,32.008705,51028
пгт Нахабино рп,55.840381,37.175899,50916
г. Снежинск,56.0852853,60.73251,50619
г. Жигулевск,53.4012735,49.4944877,50466
г. Кизляр,43.8484072,46.7232534,49999
г. Кингисепп,59.3741261,28.611223,49716
г. Апатиты,67.567731,33.4067789,49647
г. Узловая,53.9731953,38.1764288,49427
г. Краснокамск,58.0820673,55.7478889,48778
г. Балахна,56.4950365,43.575846,48569
г. Свободный,51.3612532,128.122028,48517
г. Солнечногорск,56.185102,36.977631,48413
г. Аксай,47.2675888,39.8755792,48372
г. Лесной,58.6349153,59.7980136,48261
г. Арсеньев,44.1621626,133.2696658,47937
г. Салехард,66.5493706,66.6084227,47910
г. Боровичи,58.3840076,33.9176708,47883
г. Рассказово,52.6538108,41.8743764,47644
г. Курганинск,44.8877061,40.5914627,47305
г. Отрадный,53.380127,51.3440385,46984
г. Донецк,48.3350869,39.9459603,46623
г. Надым,65.528146,72.514417,45973
г. Кашира,54.8532793,38.1904181,45922
г. Вышний Волочек,57.5684471,34.5404365,45830
г. Чусовой,58.2975271,57.8193629,45471
г. Рославль,53.9449217,32.847942,45416
г. Назарово,56.0115024,90.4169443,45333
г. Выкса,55.3206313,42.1679983,45240
г. Саяногорск,53.1007127,91.4122756,44872
г. Чебаркуль,54.9818594,60.3774264,44693
г. Канаш,55.5068806,47.4917914,44354
г. Можга,56.4427514,52.2137584,44345
г. Бирск,55.4156358,55.5583061,44295
г. Березовский,55.6693866,86.2745058,44073
г. Грязи,52.4872943,39.9331152,43908
г. Краснознаменск,55.5978331,37.039529,43868
г. Бугуруслан,53.6522761,52.4326104,43593
г. Радужный,62.1342204,77.458477,43577
г. Ливны,52.4286428,37.6040201,43549
г. Североморск,69.07651,33.4178343,43327
г. Карабулак,43.3055756,44.9095113,43037
г. Рузаевка,54.0582232,44.949083,42989
г. Лангепас,61.2537123,75.1806961,42701
г. Сатка,55.0404006,59.0288229,42597
г. Шелехов,52.2101358,104.0973332,41998
г. Куйбышев,55.445949,78.311108,41946
г. Малоярославец,55.0177696,36.4633694,41836
г. Кореновск,45.4642106,39.4589751,41826
г. Большой Камень,43.1111521,132.3479458,41825
станица Каневская,46.0847521,38.9719273,41721
г. Аргун,43.2917917,45.8722923,41622
г. Темрюк,45.2610243,37.4455473,41608
г. Ярцево,55.0565468,32.6902745,41452
г. Урай,60.1297244,64.8038858,41315
г. Заринск,53.7064163,84.93148,41272
г. Торжок,57.041349,34.9602076,41116
г. Верхняя Салда,58.0466272,60.5560133,41034
г. Лянтор,61.6392893,72.1793962,40977
г. Горячий Ключ,44.6344393,39.1355285,40903
г. Кимры,56.8732554,37.3557008,40875
г. Мариинск,56.2128227,87.7454299,40779
г. Белая Калитва,48.176882,40.8032881,40448
г. Сосновоборск,56.120075,93.3354461,40442
г. Осинники,53.598681,87.3371253,40367
г. Курчатов,51.6605387,35.6571025,40318
г. Апшеронск,44.4583753,39.7301418,40289
г. Пыть-Ях,60.7586475,72.8366942,40180
г. Усть-Лабинск,45.2226625,39.6929278,40158
г. Пугачев,52.0159472,48.797175,40127
г. Мыски,53.7126111,87.8056844,40109
г. Мончегорск,67.9386512,32.9359042,39962
г. Заинск,55.2988956,52.0063163,39739
г. Шебекино,50.4004378,36.8878943,39680
г. Тутаев,57.8674415,39.536868,39643
г. Баксан,43.6819288,43.5344884,39593
г. Абинск,44.8679116,38.1617987,39511
г. Кольчугино,56.3328004,39.391268,39410
г. Стрежевой,60.7327472,77.6039789,39169
г. Моршанск,53.4436449,41.8115193,39023
г. Советск,55.0811102,21.8887115,38910
г. Ялуторовск,56.6546647,66.3121926,38853
г. Новозыбков,52.5371414,31.9357361,38680
г. Изобильный,45.3684383,41.7085873,38614
г. Амурск,50.2345703,136.8791531,38606
г. Волхов,59.9004589,32.3520685,38511
г. Тулун,54.5570223,100.5779905,38440
г. Луга,58.735207,29.847945,38407
г. Сафоново,55.1200105,33.233658,38403
г. Кизилюрт,43.2038278,46.872864,38335
г. Югорск,61.3124125,63.3364948,38238
г. Шатура,55.5778265,39.5445373,38230
г. Ртищево,52.2616938,43.7842747,37850
г. Переславль-Залесский,56.7360013,38.8543687,37738
г. Протвино,54.8705841,37.2182922,37735
г. Южноуральск,54.4490432,61.2581713,37478
г. Истра,55.9061876,36.8600649,37474
г. Качканар,58.7050979,59.4839558,37307
г. Красноуфимск,56.612429,57.7635494,37301
г. Коркино,54.8903864,61.4032939,37224
г. Джанкой,45.7092913,34.3883718,37014
г. Ирбит,57.683808,63.0576929,37009
пгт Маркова рп,52.211106,104.207909,36971
г. Мценск,53.2789769,36.5749963,36960
г. Усть-Кут,56.780878,105.745373,36918
г. Моздок,43.7472597,44.657072,36784
г. Заволжье,56.6404919,43.3870929,36763
г. Кинель,53.2209314,50.6343567,36729
г. Урюпинск,50.7904909,42.0289034,36669
г. Реж,57.3716798,61.38338,36585
г. Алексеевка,50.6299988,38.6881066,36578
станица Динская,45.2362774,39.2405427,36576
г. Ефремов,53.137603,38.117673,36545
г. Малгобек,43.5097018,44.5901112,36480
г. Елизово,53.1829398,158.3884312,36240
г. Вязники,56.2977573,42.268676,36203
г. Алапаевск,57.8476947,61.6695786,36189
г. Учалы,54.3066963,59.4127255,36175
г. Черняховск,54.6245018,21.7969164,36128
г. Кыштым,55.706159,60.5562529,36045
пгт Горячеводский рп,44.0236208,43.0973777,36032
г. Беслан,43.1936637,44.533792,35929
Балаклава,44.501414,33.600037,35919
г. Людиново,53.8701272,34.4385772,35874
г. Звенигород,55.7295881,36.8553623,35842
г. Спасск-Дальний,44.5900901,132.8158275,35732
г. Светлоград,45.3286594,42.856594,35703
г. Красный Сулин,47.883196,40.0781926,35697
г. Фролово,49.7648209,43.6649431,35661
г. Ахтубинск,48.2753708,46.1905298,35635
г. Саянск,54.1108195,102.1802309,35561
станица Ленинградская,46.3449638,39.3907816,35561
г. Апрелевка,55.527617,37.0650837,35514
г. Благовещенск,55.0498049,55.9553149,35481
г. Лесозаводск,45.4780131,133.4185314,35433
г. Печора,65.1486942,57.2239645,35254
г. Богородск,56.1020008,43.5135913,35068
г. Миллерово,48.9259954,40.3982659,34841
г. Азнакаево,54.8597519,53.0744925,34750
г. Сокол,59.4757853,40.1114848,34742
деревня Ватутинки,55.4942411,37.3288668,34697
г. Сланцы,59.1177053,28.0882334,34628
г. Коряжма,61.2886248,47.1002365,34523
г. Тайшет,55.9405482,98.0030449,34491
г. Ликино-Дулёво,55.7077293,38.9577959,34191
г. Тосно,59.540686,30.8777641,34066
г. Мирный,62.5362564,113.9667642,34045
г. Новокубанск,45.1036986,41.0475442,34000
г. Нурлат,54.4281036,50.8049432,33990
г. Шарыпово,55.5391274,89.1801041,33961
г. Корсаков,46.6324255,142.7994957,33950
г. Можайск,55.5069403,36.0239829,33880
г. Партизанск,43.1504279,133.1666126,33832
г. Дальнегорск,44.5541197,135.566156,33655
г. Конаково,56.7275398,36.801348,33560
г. Каменка,53.1855489,44.0468101,33491
г. Гулькевичи,45.3605339,40.6918433,33357
г. Новодвинск,64.4136473,40.8206783,33294
г. Гай,51.4650759,58.4436431,33280
г. Губкинский,64.4456403,76.4713798,33273
деревня Рассказовка,55.6317853,37.3132339,33259
г. Нарткала,43.5578132,43.8576082,33203
г. Зеленокумск,44.4032361,43.8841172,33187
пгт Приволжский рп,51.4109503,46.0481131,33096
г. Валуйки,50.211172,38.0999436,33032
г. Чернушка,56.515934,56.0764463,32991
г. Тавда,58.0434995,65.274369,32749
г. Сухой Лог,56.9074957,62.0357985,32748
г. Углич,57.522461,38.3018763,32719
г. Трехгорный,54.8177944,58.4463721,32463
г. Камень-на-Оби,53.7914749,81.3545962,32385
г. Алатырь,54.8372699,46.5339898,32265
г. Кулебаки,55.4296716,42.5124575,32184
г. Усинск,65.9940586,57.5569288,32182
г. Острогожск,50.867943,39.0406177,31699
станица Новотитаровская,45.2376345,38.9765189,31520
г. Дагестанские Огни,42.1152854,48.193977,31412
г. Алушта,44.6763996,34.4100439,31364
г. Тейково,56.8542792,40.5353799,31305
г. Дюртюли,55.4848147,54.8524883,31185
село Иглино,54.834468,56.416165,31169
г. Советский,61.3707009,63.5667177,31138
г. Усть-Джегута,44.0838556,41.9710356,31137
г. Приморско-Ахтарск,46.0515858,38.1704382,31087
Фактория,64.53939,40.5170011,31008
г. Кохма,56.9325054,41.0931324,30940
г. Благодарный,45.098943,43.4306154,30827
село Ачхой-Мартан,43.1872011,45.2863481,30739
г. Дедовск,55.8704582,37.124447,30731
